epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3976,2.85093,3.72922,1.16341,0.00808,1,0.26649,0.08918,1.96029,3.79568,0.96554,0.00030006,0.00030006,0.00030006
2,47.6653,2.67165,2.26228,1.08918,0.004,0.375,0.0055,0.00307,1.75937,3.65093,1.0675,0.000555728,0.000555728,0.000555728
3,65.6565,2.64574,2.10008,1.07829,0.00546,0.5,0.4475,0.27175,1.53835,2.93966,0.98656,0.000748683,0.000748683,0.000748683
4,83.2807,2.63363,2.01292,1.10195,0.00587,0.5,0.38292,0.12312,2.32561,3.10644,1.13911,0.000878926,0.000878926,0.000878926
5,101.756,2.6397,2.02042,1.09649,0.74665,0.375,0.45708,0.23494,2.05807,2.44387,1.13315,0.000946456,0.000946456,0.000946456
6,119.196,2.57877,1.87349,1.04644,0.66,0.375,0.42465,0.22155,2.17241,2.48355,1.20668,0.000841835,0.000841835,0.000841835
7,136.638,2.5645,1.90447,1.03531,0.92246,0.375,0.97,0.24682,1.70331,1.9516,1.25254,0.000676802,0.000676802,0.000676802
8,154.437,2.48649,1.81974,1.04071,0.99628,0.5,0.995,0.32509,1.72431,1.97195,1.22336,0.000511769,0.000511769,0.000511769
9,172.111,2.41158,1.75856,1.03303,0.88417,0.5,0.97,0.27898,2.12968,1.97756,1.28927,0.000346736,0.000346736,0.000346736
10,189.727,2.39314,1.78729,1.03669,0.88212,0.5,0.97,0.278,2.17892,2.10129,1.29589,0.000181703,0.000181703,0.000181703
